base_code,target_code,rate,rate_date,fetched_at
USD,ISK,124.43351648,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,JEP,0.74552331,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,JMD,158.27220893,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,JOD,0.709,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,JPY,160.28478163,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,KES,129.56689435,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,KGS,87.44033508,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,KHR,4022.84270999,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,KID,1.41503525,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,KMF,424.1232896,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,KRW,1512.32228405,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,KWD,0.30749601,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,KYD,0.833333,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,KZT,487.85251987,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,LAK,21992.15841404,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,LBP,89500.0,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,LKR,333.74081584,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,LRD,181.90440808,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,LSL,16.19031055,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,LYD,6.36661416,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,MAD,9.2405853,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,MDL,17.39909926,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,MGA,4192.50558981,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,MKD,53.1460907,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,MMK,2101.66438092,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,MNT,3593.47981482,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,MOP,8.06990197,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,MRU,39.9303474,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,MUR,47.23952139,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,MVR,15.45899206,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,MWK,1740.33391119,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,MXN,17.19884919,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,MYR,4.06789242,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,MZN,63.81531691,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,NAD,16.19031055,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,NGN,1358.29380055,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,NIO,36.82495225,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,NOK,9.49417921,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,NPR,151.30610837,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,NZD,1.71829011,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,OMR,0.384497,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,PAB,1.0,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,PEN,3.40591649,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,PGK,4.38106628,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,PHP,60.39699057,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,PKR,278.39440087,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,PLN,3.65407842,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,PYG,6127.88028572,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,QAR,3.64,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,RON,4.50842813,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,RSD,101.17100908,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,RUB,72.70509293,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,RWF,1467.34658044,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,SAR,3.75,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,SBD,7.96881767,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,SCR,14.23619051,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,SDG,551.76387231,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,SEK,9.38331947,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,SGD,1.28254723,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,SHP,0.74552331,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,SLE,24.75635561,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,SLL,24756.35562243,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,SOS,571.76228836,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,SRD,37.39061653,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,SSP,4706.43336102,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,STN,21.12134504,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,SYP,114.9782132,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,SZL,16.19031055,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,THB,32.55440817,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,TJS,9.28294566,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,TMT,3.50206515,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,TND,2.91678852,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,TOP,2.36770539,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,TRY,46.35355914,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,TTD,6.78741821,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,TVD,1.41503525,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,TWD,31.58202893,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,TZS,2627.35466586,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,UAH,44.80342663,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,UGX,3648.14587008,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,UYU,40.39931043,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,UZS,12000.96202919,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,VES,596.7824,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,VND,26220.58161307,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,VUV,117.57072164,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,WST,2.70773091,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,XAF,565.49771947,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,XCD,2.7,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,XCG,1.79,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,XDR,0.73102333,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,XOF,565.49771947,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,XPF,102.87560596,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,YER,238.64117634,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,ZAR,16.18642501,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,ZMW,17.78663303,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,ZWG,26.76989997,2026-06-17,2026-06-17T14:35:12.316418+00:00
USD,ZWL,26.7699,2026-06-17,2026-06-17T14:35:12.316418+00:00
